WHISKY,PRESENTER,DATE,AGE,PRICE,SIZE,ABV,$/1.5 oz,ORIGIN,AMOUNT,STATUS,Andrew,Ash,Jeremy,Johnathan,Joss,Luke,Marian,Mike H.,Richard,Scott,Stefan,Steve,John,Miles,Murilo,Hussey,Max,Alex W,Derek,Susan,Len,Paul,Dan,Ashleigh,Don,Melissa,Phil,Dave,Seb,Nick,Chris,JP,Mike A.
Glenlivet Guardians Chapter,Marian,20/10/2014,NAS,90.00,750,48,6,Speyside,0,RETIRED,,84,,,80,82,83,80,,80,88,81,74,,,,,,,,,,82,,,,81,,,,,84,80
Laphoraig Quarter Cask,Miles,20/12/2012,5.7,70.00,750,48,5,Islay,0.9,OWNED,87,81,,,76,,70,73,,,,80,,87,,,,,,,,,75,,,,,,69,,,,
Laphroaig,CLUB (SS2),19/06/2014,18,180.00,750,48,11,Islay,,OWNED,94,90,,,88,,,,,,,87,,,,,,,,,,,82,,,,85,,85,95,,,
Arran Malt Amarones Cask,Ash,24/04/2014,12,81.00,700,50,6,Island,0,REPLACE,,89,,,81,,82,82,,,80,81,,,,,,,,,,,,,,,82,,,80,,,
Arran Malt Port Cask,Joss,28/07/2016,NAS,90.00,700,50,6,Island,0.5,OWNED,,,,,81,79,,77,,,,77,,,,,,,,,,,,,,,,,,,,,
Bunnahabhain  Cruach-Mhona,Jonathan,28/05/2015,NAS,120.00,1000,50,6,Islay,0.3,OWNED,,86,,,85,,77,84,,81,,84,85,78,82,,,,,,,,,,,,78,,,,,83,
Balvenie 1509 Tun,CLUB (WS3),17/12/2015,NAS,400.00,700,50.3,26,Speyside,,OWNED,89,84,95,,88,83,83,86,,90,91,89,,94,90,,,,,,,,,,,85,,,,,,,
Linlithgow Signatory Vintage (1975),CLUB (SS3),24/06/2015,25,400.00,700,50.5,26,Lowland,0,RETIRED,68,93,86,,93,,90,90,,86,,87,,,88,,87,,,,,,90,,,,88,,,,,,
Ardbeg Alligator,CLUB (SS1),20/06/2013,NAS,170.00,700,51,11,Islay,0,RETIRED,96,85,,,82,,85,81,,,,86,,85,,,,,,,,,84,,,,85,,,,,,
Glenfiddich Distillers Ed.,Marian,26/09/2013,15,75.00,750,51,5,Speyside,0.9,OWNED,86,87,,,79,,90,78,,87,,80,,84,,,,,,,,,,,,,,,79,,,,
Laphroaig Cairdeas 200th Anniversary,Joss,25/02/2016,NAS,100.00,750,51.5,6,Islay,,OWNED,62,89,82,,82,,,73,,84,85,80,,,85,85,,,,,,,,,70,,,,,,,,
Ardbeg Uigeadail,CLUB (MTL),18/12/2014,NAS,155.00,700,54.2,10,Islay,,OWNED,,,,,,,85,,,,,84,,,,,,,,,,,,,,,,,,,,,
Bowmore Laimrig,Joss,28/11/2013,15,96.00,750,54.4,6,Islay,0,EMPTY,76,85,,,78,,78,77,,80,,76,,81,,,80,,,,,,,,,,,,,,,,
Arbeg Dark Cove (Committee Release),CLUB (WS4),22/12/2016,NAS,200.00,750,55,12,Islay,,OWNED,57,80,76,,83,78,70,70,79,79,,80,,,83,,,,,,,,,,,,,,,,,,
Bowmore Tempest IV,Dan,29/05/2014,10,80.00,750,55,5,Islay,0,REPLACE,,90,,,80,,,82,,,84,79,,,,,,,,,,,82,,,,,,83,79,90,84,
Jura Boutique Barrels (1995),Andrew,26/02/2015,NAS,150.00,700,56.5,10,Island,,OWNED,,,,,,,80,,,,,79,,,,,,,,,,,,,,,,,,,,,
Bruichladdich Octomore 6.1,CLUB (WS2),18/12/2014,5,180.00,700,57,12,Islay,,OWNED,,,,,,,83,,,,,91,,,,,,,,,,,,,,,,,,,,,
Ardbeg Correyvreckan,Andrew,01/09/2016,NAS,150.00,700,57.1,10,Islay,,OWNED,95,82,77,,85,75,65,78,82,,,80,,,,,,,,75,92,,,,,,,,,,,,
Glenlivet Nadurra Triumph,Joss,25/10/2012,16,85.00,750,58,6,Speyside,0,RETIRED,87,92,,,85,,74,85,,,,83,,92,,,,,,,,,84,,,,,,,,,,
Aberlour A'bunadh,Phil,24/07/2014,NAS,95.00,750,59.5,6,Speyside,0,EMPTY,79,92,,,84,,76,85,,,85,85,,,84,,,,,,,,,,,,87,90,88,,,,
Glenfarclas 105 Cask Strength,Stephan,26/11/2015,NAS,106.00,750,60,7,Highland,0.3,OWNED,2,86,,,76,,45,84,,70,70,76,77,,70,,,,,,,,,80,,,,,,,,,
Laphroaig PX,Murilo,23/3/2017,NAS,100.00,1000,48,5,Islay,0.8,OWNED,,74,,,76,,72,75,,,,75,,,79,,,,,,,,,,,,,,,,,,
