"","WHISKY","PRESENTER","DATE","AGE","PRICE","SIZE","ABV","X..1.5.oz","ORIGIN","AMOUNT","STATUS","Individual","value","WHISKYNAME"
"361","Arbeg Dark Cove (Committee Release)","CLUB (WS4)","22/12/2016","NAS",200,750,55,12,"Islay",NA,"OWNED","Jeremy",76,"Arbeg Dark Cove (Committee Release) NAS"
"365","Ardbeg Correyvreckan","Andrew","01/09/2016","NAS",150,700,57,10,"Islay",NA,"OWNED","Jeremy",77,"Ardbeg Correyvreckan NAS"
"371","Royal Brackla","Steve","23/2/2017","12",100,750,40,6,"Highland",0.6,"OWNED","Jeremy",74,"Royal Brackla 12"
"372","Glenfiddich Rich Oak","Joss","23/2/2017","14",68,750,40,5,"Speyside",0.7,"OWNED","Jeremy",74,"Glenfiddich Rich Oak 14"
"376","Benriach 1998 Single Cask","CLUB (SS5)","22/6/2017","15",288,750,47,18,"Speyside",NA,"OWNED","Jeremy",80,"Benriach 1998 Single Cask 15"
"377","Macallan Rare Cask","CLUB (SS5)","22/6/2017","NAS",400,750,43,24,"Speyside",NA,"OWNED","Jeremy",84,"Macallan Rare Cask NAS"
"379","Laphroaig Cairdeas Madeira Cask","?","27/7/17","10",80,750,51,5,"Islay",NA,"OWNED","Jeremy",80,"Laphroaig Cairdeas Madeira Cask 10"
"381","Scapa Skiren","Scott","28/9/2017","NAS",80,750,40,5,"Island",NA,"OWNED","Jeremy",77,"Scapa Skiren NAS"
"382","Oban Distillers Edition","Jeremy","28/9/2017","15",120,750,43,8,"Highland",NA,"OWNED","Jeremy",83,"Oban Distillers Edition 15"
"383","Signatory Vintage Rosebank","Joss","26/10/2017","10",220,750,43,14,"Lowland",NA,"RETIRED","Jeremy",66,"Signatory Vintage Rosebank 10"
"384","Highland Park Valkyrie","Joss","26/10/2017","NAS",100,750,45,6,"Island",NA,"OWNED","Jeremy",80,"Highland Park Valkyrie NAS"
"385","Glenfiddich Project XX","Ash","26/10/2017","NAS",100,740,47,7,"Speyside",NA,"OWNED","Jeremy",83,"Glenfiddich Project XX NAS"
"386","Balblair 2005","Steve","30/11/2017","NAS",73,700,46,5,"Highland",NA,"OWNED","Jeremy",77,"Balblair 2005 NAS"
"387","Chivas Regal","Ash","30/11/2017","12",105,1750,40,3,"Blend",NA,"OWNED","Jeremy",68,"Chivas Regal 12"
"503","Ancnoc Vintage 2001","?","25/5/2017","15",120,700,46,8,"Speyside",0.5,"OWNED","Johnathan",71,"Ancnoc Vintage 2001 15"
"504","Kilchoman Machir Bay","?","25/5/2017","NAS",100,700,46,7,"Islay",0.5,"OWNED","Johnathan",75,"Kilchoman Machir Bay NAS"
"505","Benriach 1998 Single Cask","CLUB (SS5)","22/6/2017","15",288,750,47,18,"Speyside",NA,"OWNED","Johnathan",70,"Benriach 1998 Single Cask 15"
"506","Macallan Rare Cask","CLUB (SS5)","22/6/2017","NAS",400,750,43,24,"Speyside",NA,"OWNED","Johnathan",88,"Macallan Rare Cask NAS"
"507","Longrow","?","27/7/17","NAS",90,700,46,6,"Campbeltown",NA,"OWNED","Johnathan",90,"Longrow NAS"
"508","Laphroaig Cairdeas Madeira Cask","?","27/7/17","10",80,750,51,5,"Islay",NA,"OWNED","Johnathan",84,"Laphroaig Cairdeas Madeira Cask 10"
"512","Signatory Vintage Rosebank","Joss","26/10/2017","10",220,750,43,14,"Lowland",NA,"RETIRED","Johnathan",70,"Signatory Vintage Rosebank 10"
"513","Highland Park Valkyrie","Joss","26/10/2017","NAS",100,750,45,6,"Island",NA,"OWNED","Johnathan",80,"Highland Park Valkyrie NAS"
"514","Glenfiddich Project XX","Ash","26/10/2017","NAS",100,740,47,7,"Speyside",NA,"OWNED","Johnathan",67,"Glenfiddich Project XX NAS"
"515","Balblair 2005","Steve","30/11/2017","NAS",73,700,46,5,"Highland",NA,"OWNED","Johnathan",70,"Balblair 2005 NAS"
"516","Chivas Regal","Ash","30/11/2017","12",105,1750,40,3,"Blend",NA,"OWNED","Johnathan",67,"Chivas Regal 12"
"517","Aberfeldy","Seb","24/04/2014","12",55,750,40,4,"Highland",0,"EMPTY","Joss",73,"Aberfeldy 12"
"518","Ancnoc","Jeremy","27/10/2016","23",80,700,40,6,"Speyside",0.3,"OWNED","Joss",74,"Ancnoc 23"
"519","Arran Malt Robbie Burns","Steve","23/02/2013","NAS",42,700,40,3,"Island",0,"RETIRED","Joss",73,"Arran Malt Robbie Burns NAS"
"520","Auchentoshan American Oak","Marian","26/05/2016","NAS",55,750,40,4,"Lowland",0.6,"OWNED","Joss",67,"Auchentoshan American Oak NAS"
"521","Auchentoshan Springwood","Joss","25/09/2014","NAS",66,1000,40,3,"Lowland",0.5,"OWNED","Joss",73,"Auchentoshan Springwood NAS"
"522","Balvenie Doublewood","Stefan","27/11/2014","12",90,750,40,6,"Speyside",0,"EMPTY","Joss",80,"Balvenie Doublewood 12"
"523","Balvenie Signature","Marian","27/09/2012","12",80,750,40,5,"Speyside",0,"RETIRED","Joss",82,"Balvenie Signature 12"
"524","Cardhu","Joss","25/04/2013","12",75,750,40,5,"Speyside",0,"RETIRED","Joss",78,"Cardhu 12"
"525","Cragganmore","Dave","27/09/2012","12",85,750,40,6,"Speyside",0,"EMPTY","Joss",71,"Cragganmore 12"
"526","Dalmore King Alexander","CLUB (WS1)","19/12/2013","NAS",224,700,40,15,"Highland",NA,"OWNED","Joss",87,"Dalmore King Alexander NAS"
"527","Glen Deveron","Mike","30/04/2015","20",115,1000,40,6,"Highland",0.2,"OWNED","Joss",77,"Glen Deveron 20"
"528","Glen Mhor (1965)","CLUB (SS4)","23/06/2016","35",320,700,40,21,"Highland",NA,"OWNED","Joss",92,"Glen Mhor (1965) 35"
"529","Glenfiddich Select Cask","Ash","30/07/2015","NAS",70,1000,40,4,"Speyside",0.5,"OWNED","Joss",75,"Glenfiddich Select Cask NAS"
"530","Glenfiddich Select Cask (Blind)","CLUB (BT)","28/01/2016","NAS",70,1000,40,4,"Speyside",0.5,"OWNED","Joss",73,"Glenfiddich Select Cask (Blind) NAS"
"531","Glenlivet Master Dist. Reserve","Dan","30/04/2015","NAS",60,1000,40,3,"Speyside",0.7,"OWNED","Joss",73,"Glenlivet Master Dist. Reserve NAS"
"532","Glenmorangie","Nick","30/07/2015","10",70,750,40,5,"Highland",0.3,"OWNED","Joss",80,"Glenmorangie 10"
"533","Glenmorangie 10 (Blind)","CLUB (BT)","28/01/2016","10",70,750,40,5,"Highland",0.3,"OWNED","Joss",82,"Glenmorangie 10 (Blind) 10"
"534","Glenrothes Select Reserve","Marian","27/08/2015","NAS",60,750,40,4,"Speyside",0.5,"OWNED","Joss",76,"Glenrothes Select Reserve NAS"
"535","Highland Park Einar","Ash","24/11/2016","NAS",110,1000,40,5,"Island",0.7,"OWNED","Joss",83,"Highland Park Einar NAS"
"536","Jura","Joss","27/02/2014","10",50,750,40,3,"Island",0.3,"OWNED","Joss",70,"Jura 10"
"538","Macduff","CLUB (WS1)","19/12/2013","39",350,750,40,21,"Highland",NA,"OWNED","Joss",83,"Macduff 39"
"539","McClelland  Speyside (Blind)","CLUB (BT)","28/01/2016","NAS",45,750,40,3,"Speyside",0,"RETIRED","Joss",65,"McClelland  Speyside (Blind) NAS"
"540","McClelland Highland (Blind)","CLUB (BT)","28/01/2016","NAS",45,750,40,3,"Highland",0.7,"OWNED","Joss",65,"McClelland Highland (Blind) NAS"
"541","McClelland Islay (Blind)","CLUB (BT)","28/01/2016","NAS",45,750,40,3,"Islay",0,"RETIRED","Joss",75,"McClelland Islay (Blind) NAS"
"542","Old Pulteney","Mike","30/10/2014","12",78,700,40,6,"Highland",0.4,"OWNED","Joss",75,"Old Pulteney 12"
"543","Port Ellen Connoissuers Choice (1982)","CLUB (SS3)","24/06/2015","19",320,700,40,21,"Islay",0,"RETIRED","Joss",89,"Port Ellen Connoissuers Choice (1982) 19"
"544","Redbreast Irish Whisky","Mike","31/03/2016","12",75,750,40,5,"Ireland",0.5,"OWNED","Joss",81,"Redbreast Irish Whisky 12"
"545","Scapa Skiren","Marian","29/09/2016","NAS",80,750,40,5,"Island",0.7,"OWNED","Joss",76,"Scapa Skiren NAS"
"546","Tomintoul","Mike","20/12/2012","10",69,700,40,5,"Speyside",0,"RETIRED","Joss",74,"Tomintoul 10"
"547","Tormore","Mike","25/10/2012","12",67,1000,40,4,"Speyside",0,"EMPTY","Joss",78,"Tormore 12"
"548","Jura Brooklyn","Steve","28/04/2016","NAS",80,750,42,5,"Island",0.3,"OWNED","Joss",81,"Jura Brooklyn NAS"
"549","Auchentoshan Triplewood","Ash","28/11/2013","NAS",75,750,43,5,"Lowland",0,"REPLACE","Joss",84,"Auchentoshan Triplewood NAS"
"550","Balvenie Caribbean Cask","Andrew","31/07/2014","14",110,750,43,7,"Speyside",0,"EMPTY","Joss",79,"Balvenie Caribbean Cask 14"
"551","Benromach","Dan","24/03/2014","10",75,750,43,5,"Speyside",0,"EMPTY","Joss",80,"Benromach 10"
"552","Bowmore Darkest","Dan","27/06/2013","15",92,750,43,6,"Islay",0,"REPLACE","Joss",81,"Bowmore Darkest 15"
"553","Caol Isla","Ash","25/07/2013","12",80,1000,43,4,"Islay",0.2,"OWNED","Joss",80,"Caol Isla 12"
"554","Caol Isla (Blind)","CLUB (BT)","28/01/2016","12",80,1000,43,4,"Islay",0.2,"OWNED","Joss",78,"Caol Isla (Blind) 12"
"555","Dalwhinnie","Mike","30/01/2014","15",89,750,43,6,"Highland",0.3,"OWNED","Joss",81,"Dalwhinnie 15"
"556","Glenfiddich Bourbon Barrel Reserve","Jeremy","25/02/2016","14",70,750,43,5,"Speyside",0,"EMPTY","Joss",79,"Glenfiddich Bourbon Barrel Reserve 14"
"557","Glengoyne","Miles","27/11/2014","15",95,700,43,7,"Highland",0,"RETIRED","Joss",79,"Glengoyne 15"
"558","Glenkinchie","Miles","29/08/2013","12",85,750,43,6,"Lowland",0.3,"OWNED","Joss",80,"Glenkinchie 12"
"560","Glenmorangie Rare","Marian","27/06/2013","18",114,750,43,7,"Highland",NA,"OWNED","Joss",82,"Glenmorangie Rare 18"
"561","Highland Park","Steve","30/05/2013","12",68,750,43,5,"Island",0.2,"OWNED","Joss",82,"Highland Park 12"
"562","Jura","Joss","27/02/2014","16",85,750,43,6,"Island",0.2,"OWNED","Joss",82,"Jura 16"
"563","Jura Superstition","Andrew","29/11/2012","13",64,750,43,4,"Island",0,"EMPTY","Joss",75,"Jura Superstition 13"
"564","Lagavaulin","Andrew","27/06/2013","16",115,750,43,7,"Islay",0,"EMPTY","Joss",79,"Lagavaulin 16"
